Date,City,Country,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,Wind Speed
1546813800,Hobart,AU,-42.88,147.33,62.6,48,40,6.93
1546812000,Ribeira Grande,PT,38.52,-28.7,62.6,88,40,20.8
1546812000,Norman Wells,CA,65.28,-126.83,-13.01,75,20,6.93
1546815195,Tevriz,RU,57.51,72.4,11.13,78,68,8.16
1546812000,Ushuaia,AR,-54.81,-68.31,46.4,80,40,32.21
1546815197,Atuona,PF,-9.8,-139.03,79.67,100,36,12.86
1546814100,Yazoo City,US,32.86,-90.41,68.0,37,1,5.82
1546815200,Birao,CF,10.3,22.78,73.05,39,0,11.97
1546815201,East London,ZA,-33.02,27.91,69.14,100,0,7.61
1546814950,Mataura,NZ,-46.19,168.86,65.85,64,48,16.89
1546811400,Berlevag,NO,70.86,29.09,39.2,60,75,41.38
1546815204,Barrow,AR,-38.31,-60.23,68.82,66,32,12.19
1546815205,Faanui,PF,-16.48,-151.75,83.22,100,68,11.74
1546815206,Susehri,TR,40.16,38.09,25.35,92,92,1.9
1546812000,Puerto Ayora,EC,-0.74,-90.35,86.0,62,20,9.17
1546815209,Arraial do Cabo,BR,-22.97,-42.02,80.25,78,32,20.02
1546815210,Zigong,CN,29.34,104.78,37.55,96,48,2.91
1546815211,Dongsheng,CN,29.72,112.52,36.29,98,92,7.94
1546815212,Mar del Plata,AR,-46.43,-67.52,63.6,38,92,22.15
1546812000,Cape Town,ZA,-33.93,18.42,66.2,77,0,10.29
1546815216,Cherskiy,RU,68.75,161.3,-39.68,85,8,1.68
1546815217,Rikitea,PF,-23.12,-134.97,77.6,100,100,11.18
1546812000,Flinders,AU,-34.58,150.85,71.6,68,75,1.12
1546813020,Albany,US,42.65,-73.75,32.0,49,90,14.99
1546813800,Victoria,BN,5.28,115.24,80.6,88,75,3.36
1546813620,Lompoc,US,34.64,-120.46,59.0,72,90,12.75
1546815224,Batagay,RU,67.65,134.64,-48.18,0,12,2.91
1546814945,Hermanus,ZA,-34.42,19.24,53.97,95,0,3.91
1546814929,Butaritari,KI,3.07,172.79,83.13,100,20,13.76
1546812000,Camacha,PT,33.08,-16.33,64.4,77,20,10.29
1546814951,Jamestown,AU,-33.21,138.6,74.22,42,0,7.49
1546812780,Thompson,CA,55.74,-97.86,3.2,84,90,5.82
1546815231,Preobrazheniye,RU,42.9,133.91,-3.77,74,0,2.57
1546814990,Wakkanai,JP,45.41,141.67,24.72,100,36,21.25
1546812000,Moose Factory,CA,51.26,-80.61,-4.01,70,1,3.36
1546812000,Rudsar,IR,37.14,50.29,44.6,100,75,4.7
1546815235,Saskylakh,RU,71.97,114.09,-38.15,0,12,3.02
1546812900,Hamilton,CA,43.26,-79.87,30.2,63,75,12.75
1546815300,Pasco,US,46.24,-119.1,51.98,50,75,8.05
1546812000,Bredasdorp,ZA,-34.53,20.04,66.2,72,0,3.36
1546811400,Saint George,GR,39.45,22.34,35.6,85,20,3.36
1546815244,Bluff,AU,-23.58,149.07,84.8,53,48,13.76
1546815245,Koslan,RU,63.46,48.9,8.48,86,92,7.83
1546812000,Kerrobert,CA,51.92,-109.14,32.0,90,75,23.04
1546812000,Najran,SA,17.54,44.22,60.8,57,0,2.24
1546815248,Turiacu,BR,-5.01,-63.0,73.82,98,88,6.38
1546812000,Comodoro Rivadavia,AR,-45.87,-67.48,68.0,18,40,21.92
1546815251,Husavik,CA,50.56,-96.99,21.75,87,88,19.13
1546815252,Bubaque,GW,11.28,-15.83,79.17,99,20,3.91
1546815253,Port Alfred,ZA,-33.59,26.89,64.95,100,0,6.6
1546815254,Khatanga,RU,71.98,102.47,-33.02,58,20,6.15
1546815256,Vrangel,RU,42.73,133.08,20.45,100,0,12.41
1546811760,Kapaa,US,22.08,-159.32,78.98,62,1,6.93
1546815258,Vaini,IN,15.34,74.49,56.85,79,0,4.36
1546812000,Bathsheba,BB,13.22,-59.52,78.8,74,40,17.22
1546813320,Portland,US,45.52,-122.67,42.08,88,90,6.93
1546814978,Kloulklubed,PW,7.04,134.26,80.3,100,76,21.81
1546815263,Dekar,BW,-21.53,21.93,67.02,82,0,3.58
1546811760,Dickinson,US,46.88,-102.79,33.08,84,90,17.22
1546812000,Avarua,CK,-21.21,-159.78,82.4,65,75,11.41
1546811400,Salalah,OM,17.01,54.1,73.4,73,0,4.7
1546812000,Mazagao,BR,-0.12,-51.29,78.8,100,90,3.36
1546815270,Mezen,RU,65.85,44.24,24.0,91,92,7.61
1546814992,Sitka,US,37.17,-99.65,64.64,39,56,22.03
1546815019,Nanortalik,GL,60.14,-45.24,30.48,96,80,9.17
1546811580,Hilo,US,19.71,-155.08,80.06,58,1,12.75
1546814460,Port Hawkesbury,CA,45.62,-61.36,28.4,86,90,21.92
1546815276,Nguru,NG,12.88,10.45,61.13,41,0,10.63
1546812000,Torbay,CA,47.66,-52.73,39.2,100,90,14.99
1546813200,Malmesbury,GB,51.58,-2.1,46.4,100,90,4.7
1546815279,Dingle,PH,11.0,122.67,76.65,69,0,14.76
1546811400,Tasiilaq,GL,65.61,-37.64,17.6,57,0,4.7
1546815282,Bilibino,RU,68.06,166.44,-40.49,0,32,2.8
1546815283,Rawson,AR,-43.3,-65.11,77.15,20,88,7.38
1546814998,Narsaq,GL,60.91,-46.05,17.52,92,80,2.13
1546811760,Kahului,US,20.89,-156.47,84.92,41,1,9.17
1546815288,Sosnovka,RU,53.23,41.37,9.29,84,48,5.03
1546815032,Ostrovnoy,RU,68.05,39.51,32.06,95,92,16.89
1546815290,Busselton,AU,-33.64,115.35,68.42,98,0,18.57
1546815291,Bage,NG,10.95,11.38,66.89,30,12,11.41
1546815292,Maningrida,AU,-12.05,134.23,85.97,93,0,3.69
1546812000,Punta Arenas,CL,-53.16,-70.91,48.2,49,40,20.8
1546815294,Turukhansk,RU,65.8,87.96,3.03,74,76,18.9
1546815297,Dunedin,NZ,-45.87,170.5,65.72,77,8,4.47
1546813800,Yeppoon,AU,-23.13,150.74,78.8,69,40,12.75
1546815299,Lesosibirsk,RU,58.22,92.49,9.78,82,92,7.49
1546815300,Severo-Kurilsk,RU,50.68,156.12,25.67,100,44,26.96
1546811580,Homer,US,59.64,-151.54,17.06,66,1,6.93
1546813200,Wanning,AT,48.64,13.53,35.6,93,75,10.29
1546815304,Ponta do Sol,BR,-20.63,-46.0,64.1,94,24,2.35
1546813800,Nador,MA,35.17,-2.93,46.4,100,0,3.36
1546815306,Yatou,CM,3.63,9.81,83.4,92,12,15.99
1546815308,Piacabucu,BR,-10.41,-36.43,76.02,85,32,8.16
1546815309,Labis,MY,2.38,103.02,75.62,95,76,3.58
1546814100,Fairlie,US,33.31,-95.96,66.56,63,1,13.87
1546815311,Kamaishi,JP,39.28,141.86,33.5,72,8,9.62
1546815312,Kendari,ID,-3.99,122.52,81.38,74,12,3.69
1546812000,Mahebourg,MU,-20.41,57.7,82.4,83,40,12.75
1546812000,Georgetown,GY,6.8,-58.16,80.6,83,40,13.87
1546815317,Tiznit,MA,29.7,-9.73,49.07,74,0,4.03
1546812000,Ancud,CL,-41.87,-73.83,57.2,54,68,13.87
1546813200,Clemency,LU,49.6,5.88,35.6,93,75,6.93
1546815321,Leningradskiy,RU,69.38,178.42,-15.74,95,0,7.38
1546815322,Zeya,RU,53.74,127.27,-17.13,71,56,1.79
1546815323,Sorland,NO,67.67,12.69,42.14,100,80,33.67
1546814100,Shawnee,US,35.33,-96.93,65.84,55,1,20.8
1546813800,Nikolskoye,RU,59.7,30.79,24.8,79,90,8.95
1546815327,Moranbah,AU,-22.0,148.04,82.82,58,68,13.76
1546813800,Mount Isa,AU,-20.73,139.49,87.8,52,0,6.93
1546815330,Lebu,ET,8.96,38.73,32.87,71,8,2.57
1546814100,Rincon,US,32.3,-81.24,68.18,64,1,3.47
1546811640,Green River,US,41.53,-109.47,28.94,84,90,20.8
1546815334,Carnarvon,ZA,-30.97,22.13,63.87,29,0,10.96
1546815336,Sao Filipe,CV,14.9,-24.5,73.28,96,0,9.51
1546811400,Las Choapas,MX,17.91,-94.09,77.0,78,75,13.87
1546815339,Isangel,VU,-19.55,169.27,79.4,97,0,16.22
1546813620,Hvide Sande,DK,56.01,8.13,44.6,87,80,6.93
1546815341,Guerrero Negro,MX,27.97,-114.04,61.4,73,36,12.86
1546815343,Airai,TL,-8.93,125.41,76.25,87,8,0.34
1546815060,Hobyo,SO,5.35,48.53,76.02,86,92,17.22
1546815346,Provideniya,RU,64.42,-173.23,5.6,100,12,26.06
1546815432,Yumen,CN,40.29,97.04,3.53,69,76,2.91
1546815349,Chuy,UY,-33.69,-53.46,82.68,69,80,19.69
1546812000,Tuktoyaktuk,CA,69.44,-133.03,-4.01,83,90,8.05
1546811760,Port Elizabeth,US,39.31,-74.98,47.66,41,1,12.75
1546811400,Santa Ana,SV,13.99,-89.56,87.8,35,0,9.17
1546812000,Shelburne,CA,44.08,-80.2,26.6,53,75,12.75
1546815355,Ust-Tsilma,RU,65.44,52.15,7.76,82,64,7.83
1546815356,Talnakh,RU,69.49,88.39,-0.57,75,56,21.03
1546815358,Dikson,RU,73.51,80.55,-7.28,100,44,27.29
1546815359,Rokytne,UA,51.27,27.23,24.41,94,88,6.49
1546812000,San Cristobal,EC,-0.39,-78.55,59.0,93,75,4.7
1546810920,Cabo San Lucas,MX,22.89,-109.91,75.2,83,90,4.7
1546812000,Guapimirim,BR,-22.53,-42.98,86.0,66,40,6.93
1546815364,Kapit,MY,2.02,112.94,71.97,99,80,2.13
1546813800,Los Corrales de Buelna,ES,43.26,-4.07,39.2,100,75,1.12
1546815367,Bara,NG,10.41,10.6,67.07,28,12,11.41
1546813800,New Norfolk,AU,-42.78,147.06,62.6,48,40,6.93
1546815370,Tabuk,PH,17.41,121.44,64.23,95,56,0.89
1546815371,Caravelas,BR,-17.73,-39.27,80.52,100,68,14.65
1546814100,Saint-Philippe,CA,45.36,-73.48,21.2,62,90,8.05
1546813800,Oktyabrskoye,RU,56.73,85.44,10.4,85,68,17.9
1546813800,Ferrol,ES,43.48,-8.23,41.0,100,0,2.24
1546815377,Zastron,ZA,-30.3,27.08,52.13,86,0,3.13
1546815380,Sikasso,ML,11.32,-5.68,60.9,62,24,3.8
1546815381,Chabahar,IR,25.29,60.65,69.77,100,0,3.91
1546815382,Kasongo-Lunda,CD,-6.48,16.82,68.06,99,92,2.46
1546815383,Jieshou,CN,33.26,115.35,31.92,93,92,6.49
1546812000,Alofi,NU,-19.06,-169.92,80.6,88,92,9.17
1546815386,Celestun,MX,20.87,-90.4,75.89,96,0,17.45
1546815387,Tuatapere,NZ,-46.13,167.69,61.35,83,24,18.12
1546815388,San Quintin,PH,17.54,120.52,68.96,82,0,3.58
1546812000,Yellowknife,CA,62.45,-114.38,-0.41,77,75,14.99
1546815391,Phan Thiet,VN,10.93,108.1,77.37,91,0,19.24
1546815392,Taoudenni,ML,22.68,-3.98,50.15,30,0,12.53
1546813200,Broome,GB,52.47,1.45,44.6,93,32,2.24
1546815395,Mayor Pablo Lagerenza,PY,-19.93,-60.77,91.64,45,20,22.7
1546812000,Ranong,TH,9.96,98.62,82.4,74,20,18.34
1546815398,Jardim,BR,-21.48,-56.15,82.95,69,0,13.2
1546815399,Namibe,AO,-15.19,12.15,73.01,100,0,7.61
1546815401,Aykhal,RU,65.95,111.51,-12.45,55,36,5.7
1546815402,Pedernales,EC,0.07,-80.05,73.05,100,92,3.47
1546815404,Russell,AR,-33.01,-68.8,64.73,64,76,3.02
1546811760,North Bend,US,43.41,-124.22,50.0,71,40,12.75
1546815406,Hithadhoo,MV,-0.6,73.08,77.51,100,92,0.89
1546815407,Omboue,GA,-1.57,9.26,79.35,100,92,1.57
1546815300,Tarpon Springs,US,28.15,-82.76,71.06,47,1,3.36
1546815410,Maralal,KE,1.1,36.7,54.15,93,56,2.35
1546813800,Fortuna,ES,38.18,-1.13,44.6,56,0,3.36
1546815413,Evensk,RU,61.92,159.24,18.56,91,88,29.3
1546815414,Ciudad Bolivar,VE,8.12,-63.55,84.89,48,48,12.75
1546815415,Xai-Xai,MZ,-25.04,33.64,74.9,100,44,14.09
1546811400,Penzance,GB,50.12,-5.53,48.2,81,48,3.36
1546815417,Diego de Almagro,CL,-26.39,-70.05,66.89,45,0,2.46
1546815420,Sagar,IN,23.84,78.75,49.88,95,48,9.4
1546813800,Saint-Augustin,FR,44.83,-0.61,37.4,74,90,5.82
1546815423,Lorengau,PG,-2.02,147.27,85.07,95,88,14.43
1546815424,Zuenoula,CI,7.43,-6.04,70.31,54,12,3.69
1546815427,Cidreira,BR,-30.17,-50.22,77.69,80,92,16.33
1546815428,Biltine,TD,14.53,20.93,66.3,24,0,13.87
1546815429,Okha,RU,53.59,142.95,1.55,80,0,16.89
1546812900,Kodiak,US,39.95,-94.76,53.96,40,1,13.87
1546812000,Swift Current,CA,50.29,-107.8,35.6,80,75,16.11
1546815433,Keskin,TR,39.67,33.62,17.66,78,44,4.7
1546811940,Cienfuegos,CU,22.15,-80.44,78.8,69,36,11.41
1546812000,Belgrade,RS,44.82,20.46,26.6,86,90,8.05
1546812000,Bambous Virieux,MU,-20.34,57.76,82.4,83,40,12.75
1546815439,Omsukchan,RU,62.53,155.8,-31.4,48,68,2.57
1546814100,Flagstaff,US,35.2,-111.65,37.4,85,90,20.8
1546813200,Hovd,NO,63.83,10.7,39.2,80,90,16.11
1546814400,Half Moon Bay,US,37.46,-122.43,51.98,93,90,31.09
1546815443,Reconquista,AR,-29.14,-59.64,75.08,95,80,13.98
1546815444,Upernavik,GL,72.79,-56.15,3.12,100,0,9.17
1546813800,Makarska,HR,43.3,17.02,41.0,41,0,18.34
1546814100,Hong,US,37.9,-94.42,61.88,49,40,18.34
1546812000,Cap-aux-Meules,CA,47.38,-61.86,28.4,92,90,32.21
1546815450,Maltahohe,NA,-24.83,16.98,67.02,53,0,5.7
1546815451,Chokurdakh,RU,70.62,147.9,-41.48,0,8,2.68
1546815452,Uyuni,BO,-20.46,-66.82,49.92,42,0,9.62
1546813800,Martapura,ID,-3.41,114.85,75.2,94,48,4.7
1546815455,Changying,CN,52.87,123.32,-17.54,72,0,4.25
1546815456,Meulaboh,ID,4.14,96.13,78.18,100,36,3.02
1546815457,Kaitangata,NZ,-46.28,169.85,66.93,65,12,17.22
1546815459,Russkaya Polyana,RU,53.78,73.88,6.72,79,68,10.18
1546813800,Katherine,AU,-14.47,132.26,78.8,74,0,5.82
1546813800,Nevelsk,RU,46.67,141.86,-16.61,75,20,2.24
1546812000,Fukue,JP,35.03,136.69,41.0,56,20,16.11
1546812000,Flin Flon,CA,54.77,-101.88,12.2,85,90,10.29
1546815465,Orapa,BW,-21.28,25.37,70.31,92,68,10.18
1546812000,Coquimbo,CL,-29.95,-71.34,69.8,52,20,14.99
1546812000,Adrar,DZ,27.87,-0.29,44.6,45,0,6.93
1546815469,Ladario,PT,40.7,-7.74,22.16,65,0,3.58
1546812000,Castro,CL,-42.48,-73.76,57.2,54,32,13.87
1546815472,Sisimiut,GL,66.94,-53.67,4.88,100,80,4.36
1546812000,Whitehorse,CA,60.72,-135.06,-14.81,75,20,8.05
1546812000,Sri Aman,MY,1.24,111.46,77.0,94,92,3.36
1546815477,Bandarbeyla,SO,9.49,50.81,75.93,100,80,18.23
1546813800,Port Macquarie,AU,-31.43,152.91,77.0,83,90,6.93
1546812000,Zakupy,CZ,50.68,14.65,32.0,93,75,5.82
1546812000,Vila Franca do Campo,PT,37.72,-25.43,64.4,88,75,23.04
1546815482,Zabaykalsk,CN,49.64,117.33,-12.68,56,0,14.76
1546812000,Point Fortin,TT,10.16,-61.68,80.6,74,20,11.41
1546815484,Baykit,RU,61.68,96.39,-3.32,72,68,10.74
1546811760,Great Bend,US,38.36,-98.78,57.02,48,1,10.29
1546811760,Lahaina,US,20.87,-156.68,84.92,39,20,6.93
1546811760,La Mesa,US,32.77,-117.02,62.96,57,75,10.29
1546813200,Bronnoysund,NO,65.46,12.2,37.4,92,75,12.75
1546815490,Luderitz,NA,-26.65,15.16,59.82,85,0,14.2
1546812000,Antofagasta,CL,-23.65,-70.4,69.8,64,75,13.87
1546815492,Verkhoyansk,RU,67.55,133.39,-42.11,0,20,2.68
1546812000,Pilar,AR,-34.46,-58.91,84.2,54,0,8.05
1546815495,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,80.48,85,32,12.41
1546812000,Nishihara,JP,35.74,139.53,41.0,62,1,5.82
1546812000,Niigata,JP,37.91,139.04,39.2,55,75,16.11
1546813200,Kuopio,FI,62.89,27.68,28.4,100,90,10.29
1546812000,Kotli Loharan,PK,32.59,74.49,42.8,87,0,3.02
1546815501,Katima Mulilo,NA,-17.5,24.28,67.61,94,56,4.59
1546815502,Preeceville,CA,51.95,-102.67,21.71,83,88,14.32
1546815503,Marawi,PH,8.0,124.29,71.75,83,20,2.68
1546810980,Tecoanapa,MX,16.99,-99.26,84.2,70,20,8.05
1546811700,Masuda,JP,34.68,131.85,37.04,78,40,8.05
1546815507,Salym,RU,60.06,71.48,12.3,73,88,7.94
1546815508,Kuzhorskaya,RU,44.67,40.3,26.43,91,76,2.24
1546815509,Taywarah,AF,33.35,64.42,10.32,66,56,2.57
1546811400,Ilulissat,GL,69.22,-51.1,17.6,44,20,20.8
1546813800,Souillac,FR,45.6,-0.6,39.2,80,90,6.93
1546813860,Bethel,US,60.79,-161.76,10.4,92,90,6.93
1546815516,Puerto Madryn,AR,-42.77,-65.04,73.46,50,76,9.62
1546812000,Iquitos,PE,-3.75,-73.25,86.0,66,40,6.93
1546815519,Qaanaaq,GL,77.48,-69.36,-16.28,93,0,6.49
1546813800,Port Hedland,AU,-20.31,118.58,82.4,88,0,5.82
1546815522,Nemuro,JP,43.32,145.57,24.77,100,56,17.56
1546815523,Pervomayskoye,RU,57.07,86.23,12.53,85,68,15.66
1546813800,Codrington,AU,-28.95,153.24,78.8,69,90,6.93
1546813560,Price,US,39.6,-110.81,26.96,92,90,1.68
1546815528,Itarema,BR,-2.92,-39.92,79.49,80,88,10.96
1546815530,Yuanping,CN,38.72,112.71,7.08,68,56,2.35
1546815531,Paamiut,GL,61.99,-49.67,32.51,97,88,14.65
1546815532,Koutiala,ML,12.39,-5.46,58.79,48,32,4.7
1546813800,Nhulunbuy,AU,-12.18,136.78,84.2,79,0,4.7
1546813800,Cayenne,GF,4.94,-52.33,78.8,88,75,6.93
1546815537,Komsomolskiy,RU,67.55,63.78,4.7,84,76,10.18
1546815538,Haines Junction,CA,60.75,-137.51,-28.16,39,0,2.01
1546815539,Roebourne,AU,-20.77,117.15,88.67,41,0,5.14
1546815540,Mugur-Aksy,RU,50.38,90.44,-31.58,41,0,2.01
1546811400,Sandwick,GB,54.57,-2.89,44.6,100,90,13.87
1546815542,Hambantota,LK,6.12,81.12,74.54,100,0,7.72
1546815544,Xuddur,SO,4.12,43.89,73.01,59,44,8.95
1546815545,Lakes Entrance,AU,-37.88,147.99,68.51,86,0,3.91
1546813980,Palmer,US,61.6,-149.11,6.98,91,90,2.35
1546815382,Pokhara,NP,28.21,83.99,38.22,90,92,1.9
1546815548,Maragogi,BR,-9.01,-35.22,77.42,91,92,5.48
1546815549,Bako,NG,9.68,6.4,72.83,31,0,13.65
1546815551,Talea,RO,45.23,25.57,13.83,84,36,3.69
1546812000,Iqaluit,CA,63.75,-68.52,-13.01,57,90,5.82
1546815553,Kamenka,RU,53.19,44.05,12.12,86,64,4.25
1546812000,Mount Gambier,AU,-37.83,140.78,62.6,63,90,10.29
1546815556,Port Blair,IN,11.67,92.75,82.28,100,56,21.92
1546815558,Alta Floresta,BR,-9.87,-56.08,76.43,97,12,2.13
1546811040,Bucerias,MX,20.76,-105.33,82.4,54,90,4.7
1546814100,Natchitoches,US,31.76,-93.09,66.02,56,1,5.82
1546815561,Staraya Poltavka,RU,50.48,46.48,16.31,94,56,9.51
1546815562,Kangaatsiaq,GL,68.31,-53.46,22.88,93,64,22.26
1546813800,Padang,ID,-0.92,100.36,77.0,94,20,3.36
1546812000,Morant Bay,JM,17.88,-76.41,84.2,54,20,4.7
1546815566,Gazli,UZ,40.13,63.45,43.67,66,92,15.77
1546812000,Chongwe,ZM,-15.33,28.68,71.6,88,0,2.24
1546813200,Gram,DK,55.78,9.89,42.8,100,80,8.05
1546812000,Vila Velha,BR,-3.71,-38.6,80.6,83,0,6.93
1546812000,Castro Verde,PT,37.7,-8.08,42.8,81,0,3.36
1546815572,Luau,CD,-10.7,22.23,65.54,100,92,2.57
1546815573,Kavieng,PG,-2.57,150.8,85.88,95,68,12.97
1546815318,La Tuque,CA,47.44,-72.79,11.54,56,36,12.19
1546815575,Sao Desiderio,BR,-12.36,-44.97,66.75,96,68,9.17
1546815576,Henties Bay,NA,-22.12,14.28,61.49,100,68,4.7
1546815577,Poya,NC,-21.35,165.16,78.05,92,0,14.2
1546815579,Slyudyanka,RU,51.66,103.72,-14.25,59,12,2.24
1546812000,Danshui,CN,22.81,114.46,60.8,82,75,8.95
1546813800,Krasnoye,RU,44.87,39.46,35.6,100,20,15.66
1546812000,Brikama,GM,13.27,-16.65,75.2,53,0,4.7
1546812000,Port-Cartier,CA,50.03,-66.88,21.2,57,75,21.92
1546812000,Hasaki,JP,35.73,140.83,26.6,79,20,1.12
1546811760,Elko,US,40.83,-115.76,37.94,50,1,12.75
1546815590,Gilgit,PK,35.92,74.31,5.15,80,36,0.56
1546815591,Morada Nova,BR,-5.1,-38.37,82.77,60,80,7.83
1546815552,Karratha,AU,-20.74,116.85,88.67,41,0,5.14
1546815595,Governador Valadares,BR,-18.85,-41.95,75.93,73,64,2.35
1546811400,Longyearbyen,NO,78.22,15.63,21.2,73,75,48.32
1546810980,Frontera,MX,18.53,-92.64,80.6,65,75,8.05
1546812000,Puerto Cabezas,NI,14.04,-83.39,84.2,83,40,6.93
1546812000,Samarina,RU,57.89,27.81,19.4,79,64,6.71
1546812000,Yulara,AU,-25.24,130.99,78.8,21,0,13.87
1546815605,Mozarlandia,BR,-14.74,-50.57,75.3,74,92,4.7
1546812000,Puerto Quijarro,BO,-19.0,-57.72,91.4,62,0,11.41
1546815609,Plettenberg Bay,ZA,-34.05,23.37,64.73,100,0,6.71
1546815694,Labytnangi,RU,66.66,66.39,-1.2,67,48,11.18
1546815612,Mezhevoy,RU,55.17,58.79,13.16,85,56,6.38
1546815615,Ihosy,MG,-22.4,46.13,63.11,97,64,2.91
1546812000,Ponta Delgada,PT,37.73,-25.67,64.4,88,75,23.04
1546815618,Sarny,UA,51.32,26.62,24.14,89,80,10.18
1546812000,Alyangula,AU,-13.85,136.42,84.2,79,8,4.7
1546815621,Hofn,IS,64.25,-15.21,39.48,100,92,13.65
1546815623,Sambava,MG,-14.27,50.17,77.78,100,92,6.15
1546812000,Port Hardy,CA,50.7,-127.42,35.6,93,90,10.29
1546815626,Chernyshevskiy,RU,63.01,112.47,-0.89,66,56,8.16
1546812000,San Matias,HN,13.97,-86.63,77.0,47,40,16.11
1546813800,Kampot,KH,10.62,104.18,78.8,78,20,8.05
1546815630,Ust-Nera,RU,64.57,143.24,-60.29,0,8,1.57
1546815631,El Tarra,CO,8.57,-73.09,76.07,52,8,2.57
1546811880,Havelock,US,34.88,-76.9,64.94,44,1,6.93
